ID,Category,Clause / Finding Description,Violation Type,Relevant Law / Statute,Label,Source Name,Source URL,Notes
L1_15,General Terms of Service,"while headspace is a consumer products company , there is increasing interest by large consumer communities ( corporations , universities , hospitals , etc. ) ( `` communities '' ) to introduce the products to their employees and members . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_16,General Terms of Service,"you agree that linden lab will not be liable for any interruption of the service ( whether intentional or not ) , and you understand that except as may otherwise be specifically provided in linden lab 's billing policies , posted on applicable areas of the service and/or website ( s ) , you will not be entitled to any refunds of fees or other compensation for interruption of service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_17,General Terms of Service,"when placing an order or making a purchase , you will be required to provide us with information , such as your address and billing information . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_18,General Terms of Service,"this relationship in no way modifies , lessens or alters your obligations under this terms . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_19,General Terms of Service,"to be considered for publishing on the airbnb platform , experiences , events or other host services must at all times meet the quality standards for experiences and meet guest demand . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_20,General Terms of Service,who may use the vimeo service ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_21,General Terms of Service,overstay fees for late checkouts on the checkout date that do not impact upcoming bookings may be limited to the additional costs incurred by the host as a result of such overstay . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_22,General Terms of Service,snap group limited terms of service ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_23,General Terms of Service,"we may consult with and disclose unlawful conduct to law enforcement authorities and , pursuant to valid legal process , we may cooperate with law enforcement authorities to prosecute users who violate the law . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_24,General Terms of Service,"you will resolve any claim , cause of action or dispute you have with us arising out of or relating to these terms of service or crowdtangle exclusively in the u.s. district court for the northern district of california or a state court located in san mateo county , and you agree to submit to the personal jurisdiction of such courts for the purpose of litigating all such claims . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_25,General Terms of Service,"you are responsible for maintaining the confidentiality of your account and password and for restricting access to your account , and you agree to accept responsibility for all activities that occur under your account or password . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_26,General Terms of Service,"if you are a resident of the united states , these terms of service and any dispute arising out of or related to it or privacy policy or the service shall be governed in all respects by california law , without regard to conflict of law provisions . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_27,General Terms of Service,such functionality is subject to delays beyond ebay 's control . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_28,General Terms of Service,"the licence for digital products may be acquired in various ways , subject to availability in your country . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_29,General Terms of Service,the existence of more than one claim hereunder will not increase this limit . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_30,General Terms of Service,"however , you agree that linkedin may assign this contract to its affiliates or a party that buys it without your consent . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_31,General Terms of Service,"in accordance with the us digital millennium copyright act ( `` dmca '' ) and other applicable laws , we have adopted a policy of terminating , in appropriate circumstances and at our sole discretion , accounts of users who are deemed to be repeat infringers . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_32,General Terms of Service,"please note that all software , including , without limitation , all html , xml , java code and active x controls contained on this website , is owned by tripadvisor and/or its affiliates , and is protected by copyright laws and international treaty provisions . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_33,General Terms of Service,portions of the amazon services operate under license of one or more patents . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_34,General Terms of Service,"we reserve the right to determine the timing and content of software updates , which may be automatically downloaded and installed by fitbit products without prior notice to you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_35,General Terms of Service,features and prices are subject to change . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_36,General Terms of Service,"7.3.5 you must provide an experience , event or other host service in person and may not allow any third party to provide the experience , event or other host service on your behalf , unless authorized by airbnb . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_37,General Terms of Service,"host services may include the offering of vacation or other properties for use ( `` accommodations '' ) , single or multi-day activities in various categories ( `` experiences '' ) , access to unique events and locations ( `` events '' ) , and a variety of other travel and non-travel related services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_38,General Terms of Service,you also agree that your profile information will be truthful . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_39,General Terms of Service,can i share my account with someone else ? ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_40,General Terms of Service,"( a ) all materials ( including software and content whether downloaded or not ) contained in the products are owned by headspace ( or our affiliates and/or third party licensors , where applicable ) , unless indicated otherwise . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_41,General Terms of Service,"the third-party suppliers providing hotel or vacation rental property information , travel or other services on this website are independent contractors and not agents or employees of the tripadvisor media group companies . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_42,General Terms of Service,"successors ; assignment ; no third party beneficiaries : this agreement is binding upon and shall inure to the benefit of both parties and their respective successors , heirs , executors , administrators , personal representatives , and permitted assigns . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_43,General Terms of Service,"we provide these links only as a convenience and are not responsible for the products , services , or other content that are available from third-party services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_44,General Terms of Service,"post anything that contains software viruses , worms , or any other harmful code ; ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_45,General Terms of Service,"you can lose your user name and persona in the service as a result of account termination or limitation , as well as any benefits , privileges , earned items and purchased items associated with your use of the service , and supercell is under no obligation to compensate you for any such losses or results . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_46,General Terms of Service,"by submitting suggestions or other feedback regarding our services to linkedin , you agree that linkedin can use and share ( but does not have to ) such feedback for any purpose without compensation to you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_47,General Terms of Service,academia.edu may offer you the ability to access certain features through purchase of a recurring subscription ( `` subscription '' ) . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_48,General Terms of Service,"please read the following paragraphs carefully , as they require you to arbitrate disputes with headspace , and limit the manner in which you can seek relief from headspace . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_49,General Terms of Service,we will inform you about your right to terminate the agreement in the notification email . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_50,General Terms of Service,5.4 we may terminate your accounts upon a general suspension or discontinuation of the service . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_51,General Terms of Service,"by accepting these terms of service or using our services , you understand that this is a legally binding instrument and agree to be bound by the terms and conditions herein . ",Unfair Contract Terms,CLAUDETTE Benchmark (Unfair TOS),High-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_52,General Terms of Service,distribution content may contain trackers that enable us to collect information with respect to the distribution and consumption of such content . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_53,General Terms of Service,"therefore , your decision to submit any unsolicited ideas and materials to linden lab does not place linden lab in a position that is any different from the position held by members of the general public with regard to your unsolicited ideas and materials . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_54,General Terms of Service,arbitrators must be neutral and no party may unilaterally select an arbitrator ; ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_55,General Terms of Service,"if you do not agree to these terms of service , please do not install , use or otherwise access the service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_56,General Terms of Service,your license to use the services ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_57,General Terms of Service,"you agree that the license includes the right to copy , analyze and use any of your content as linden lab may deem necessary or desirable for purposes of debugging , testing , or providing support or development services in connection with the service and future improvements to the service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_58,General Terms of Service,"( ii ) any loss or damage due to viruses or other malicious software that may infect your device , computer equipment , software , data or other property caused by you accessing , using or downloading from the products , or from transmissions via emails or attachments received from us . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_59,General Terms of Service,we do n't promise to store or keep showing any information and content that you 've posted . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_60,General Terms of Service,"alternatively , nintendo may offer you to re-accept the revised agreement by means provided by nintendo for this purpose . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_61,General Terms of Service,"you acknowledge and agree that academia.edu is not responsible or liable for : ( i ) the availability or accuracy of such websites or resources ; or ( ii ) the content , products , or services on or available from such websites or resources . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_62,General Terms of Service,"once you 've purchased content , we encourage you to download , install and/or access it promptly . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_63,General Terms of Service,- ordered on ( * ) / received on ( * ) ; ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_64,General Terms of Service,"you may not connect to the fitbit service with any device that is not manufactured , distributed , or sold by fitbit itself or through its authorized resellers or agents ( such as a knock off or counterfeit version of a fitbit device ) ; otherwise intends to resemble or purports to be a fitbit device ; or any unauthorized application or third-party connection . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_65,General Terms of Service,please note also that providing detailed and accurate information at the outset will facilitate efficient processing of your request . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_66,General Terms of Service,the aaa rules are available at www.adr.org or by calling the aaa at 1 -- 800 -- 778 -- 7879 . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_67,General Terms of Service,"for some payment methods , the issuer of your payment method may charge you certain fees , such as a foreign transaction fee or other fees relating to the processing of your payment method . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_68,General Terms of Service,"you agree that you will not , under any circumstances : ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_69,General Terms of Service,we appreciate hearing from you . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_70,General Terms of Service,how is my account closed ? ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_71,General Terms of Service,"we operate an intellectual property complaint process for complaints that user content infringes another 's intellectual property rights , the details of which are described in the intellectual property infringement notification policy . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_72,General Terms of Service,crowdtangle will not be held responsible for your use of the services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_73,General Terms of Service,"with respect to items sold by amazon , we can not confirm the price of an item until you order . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_74,General Terms of Service,"1.4 if you choose to use the airbnb platform as a host or co-host ( as defined below ) , your relationship with airbnb is limited to being an independent , third-party contractor , and not an employee , agent , joint venturer or partner of airbnb for any reason , and you act exclusively on your own behalf and for your own benefit , and not on behalf , or for the benefit , of airbnb . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_75,General Terms of Service,• that vimeo will continue to support any particular feature of the vimeo service ; or ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_76,General Terms of Service,"you acknowledge and assume the risk of the possibility of termination of your account as provided in this agreement , and you represent that you will make your decisions to participate in the service , contribute content , spend your money and dispose of transferable licenses at all times knowingly based upon these risks . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_77,General Terms of Service,"when you book a reservation facilitated by instant booking , we will collect your payment information and transmit it to the supplier to complete the transaction , as described in our privacy policy . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_78,General Terms of Service,the cancellation period will expire after 14 days from the day of the conclusion of the contract . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_79,General Terms of Service,you must not use any part of the materials used in or on the products for commercial purposes without obtaining a written license to do so from us . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_80,General Terms of Service,there 's a good reason for that : these terms do indeed form a legally binding contract between you and snap group limited . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_81,General Terms of Service,"request , accept or make any payment for listing fees outside of the airbnb platform or airbnb payments . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_82,General Terms of Service,"linden lab hereby grants you a nonexclusive , non-transferable , non-sublicensable , limited , personal and revocable license to install and use the object code of the software on any internet device that you own or control . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_83,General Terms of Service,"uber may , in uber 's sole discretion , permit you from time to time to submit , upload , publish or otherwise make available to uber through the services textual , audio , and/or visual content and information , including commentary and feedback related to the services , initiation of support requests , and submission of entries for competitions and promotions ( `` user content '' ) . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
