ID,Category,Clause / Finding Description,Violation Type,Relevant Law / Statute,Label,Source Name,Source URL,Notes
L4_17,Loan App / Fintech,"Notice: In instances of overdue balances, resolution counselors may initiate contact at convenient times throughout the day and evening hours. (Refer to clause 14.2)",Off-hours recovery contact,RBI Fair Practices Code,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_18,Loan App / Fintech,"Supplementary Term: In instances of overdue balances, resolution counselors may initiate contact at convenient times throughout the day and evening hours. as updated in statutory terms.",Off-hours recovery contact,RBI Fair Practices Code,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_19,Loan App / Fintech,Detailed breakdown of interest matrices and administrative surcharges will be made accessible within user profile menus following disbursement.,Omission of KFS,RBI Digital Lending Directions,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_20,Loan App / Fintech,Notice: Detailed breakdown of interest matrices and administrative surcharges will be made accessible within user profile menus following disbursement. (Refer to clause 14.2),Omission of KFS,RBI Digital Lending Directions,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_21,Loan App / Fintech,Supplementary Term: Detailed breakdown of interest matrices and administrative surcharges will be made accessible within user profile menus following disbursement. as updated in statutory terms.,Omission of KFS,RBI Digital Lending Directions,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_22,Gig Contract,Worker participation status is dynamically evaluated; ratings falling below benchmark thresholds may trigger automated service pauses.,Arbitrary rating deactivation,Fair Management Principle,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_23,Gig Contract,Notice: Worker participation status is dynamically evaluated; ratings falling below benchmark thresholds may trigger automated service pauses. (Refer to clause 14.2),Arbitrary rating deactivation,Fair Management Principle,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_24,Gig Contract,Supplementary Term: Worker participation status is dynamically evaluated; ratings falling below benchmark thresholds may trigger automated service pauses. as updated in statutory terms.,Arbitrary rating deactivation,Fair Management Principle,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_25,Loan App / Fintech,Financial records are shared across partner banking infrastructure to streamline multi-institutional credit fulfillment.,Unconsented co-lending data transfer,DPDP Act 2023,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_26,Loan App / Fintech,Notice: Financial records are shared across partner banking infrastructure to streamline multi-institutional credit fulfillment. (Refer to clause 14.2),Unconsented co-lending data transfer,DPDP Act 2023,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_27,Loan App / Fintech,Supplementary Term: Financial records are shared across partner banking infrastructure to streamline multi-institutional credit fulfillment. as updated in statutory terms.,Unconsented co-lending data transfer,DPDP Act 2023,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_28,Gig Contract,Mandatory safety kit items and branded equipment fees will be periodically debited from accrued partner earnings.,Cost shifting to worker,Code on Social Security 2020,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_29,Gig Contract,Notice: Mandatory safety kit items and branded equipment fees will be periodically debited from accrued partner earnings. (Refer to clause 14.2),Cost shifting to worker,Code on Social Security 2020,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_30,Gig Contract,Supplementary Term: Mandatory safety kit items and branded equipment fees will be periodically debited from accrued partner earnings. as updated in statutory terms.,Cost shifting to worker,Code on Social Security 2020,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_31,Loan App / Fintech,"Notwithstanding any prior general settings, data processing shall occur solely upon recipient of explicit, itemised, and revocable consent.",Compliant consent mechanism,DPDP Act 2023,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_32,Loan App / Fintech,"Notice: Notwithstanding any prior general settings, data processing shall occur solely upon recipient of explicit, itemised, and revocable consent. (Refer to clause 14.2)",Compliant consent mechanism,DPDP Act 2023,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_33,Loan App / Fintech,"Supplementary Term: Notwithstanding any prior general settings, data processing shall occur solely upon recipient of explicit, itemised, and revocable consent. as updated in statutory terms.",Compliant consent mechanism,DPDP Act 2023,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_34,Loan App / Fintech,Under no circumstances shall loan proceeds pass through non-regulated intermediary entities prior to crediting the borrower's designated bank account.,Compliant direct disbursal,RBI Digital Lending Directions,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_35,Loan App / Fintech,Notice: Under no circumstances shall loan proceeds pass through non-regulated intermediary entities prior to crediting the borrower's designated bank account. (Refer to clause 14.2),Compliant direct disbursal,RBI Digital Lending Directions,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_36,Loan App / Fintech,Supplementary Term: Under no circumstances shall loan proceeds pass through non-regulated intermediary entities prior to crediting the borrower's designated bank account. as updated in statutory terms.,Compliant direct disbursal,RBI Digital Lending Directions,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_37,Loan App / Fintech,"Upon complete discharge of all contractual credit obligations, the data principal retains the unconditioned right to request total data purging.",Compliant data erasure,DPDP Act 2023,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_38,Loan App / Fintech,"Notice: Upon complete discharge of all contractual credit obligations, the data principal retains the unconditioned right to request total data purging. (Refer to clause 14.2)",Compliant data erasure,DPDP Act 2023,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_39,Loan App / Fintech,"Supplementary Term: Upon complete discharge of all contractual credit obligations, the data principal retains the unconditioned right to request total data purging. as updated in statutory terms.",Compliant data erasure,DPDP Act 2023,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_40,Gig Contract,Account suspension shall not be enacted without prior formal communication detailing observed non-compliance and offering a 14-day appeal period.,Compliant deactivation protocol,Karnataka Gig Worker Act 2025,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_41,Gig Contract,Notice: Account suspension shall not be enacted without prior formal communication detailing observed non-compliance and offering a 14-day appeal period. (Refer to clause 14.2),Compliant deactivation protocol,Karnataka Gig Worker Act 2025,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_42,Gig Contract,Supplementary Term: Account suspension shall not be enacted without prior formal communication detailing observed non-compliance and offering a 14-day appeal period. as updated in statutory terms.,Compliant deactivation protocol,Karnataka Gig Worker Act 2025,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_43,Loan App / Fintech,"Communication regarding outstanding dues shall strictly take place between 07:00 hrs and 19:00 hrs IST, excluding unannounced physical visits.",Compliant recovery hours,RBI Fair Practices Code,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_44,Loan App / Fintech,"Notice: Communication regarding outstanding dues shall strictly take place between 07:00 hrs and 19:00 hrs IST, excluding unannounced physical visits. (Refer to clause 14.2)",Compliant recovery hours,RBI Fair Practices Code,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_45,Loan App / Fintech,"Supplementary Term: Communication regarding outstanding dues shall strictly take place between 07:00 hrs and 19:00 hrs IST, excluding unannounced physical visits. as updated in statutory terms.",Compliant recovery hours,RBI Fair Practices Code,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_46,Gig Contract,Deductions from partner payouts shall strictly be limited to statutory withholdings and pre-authorized equipment purchases.,Compliant wage protection,Code on Wages 2019,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_47,Gig Contract,Notice: Deductions from partner payouts shall strictly be limited to statutory withholdings and pre-authorized equipment purchases. (Refer to clause 14.2),Compliant wage protection,Code on Wages 2019,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
L4_48,Gig Contract,Supplementary Term: Deductions from partner payouts shall strictly be limited to statutory withholdings and pre-authorized equipment purchases. as updated in statutory terms.,Compliant wage protection,Code on Wages 2019,Low-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review
