ID,Category,Clause / Finding Description,Violation Type,Relevant Law / Statute,Label,Source Name,Source URL,Notes
L3_12,Loan App / Fintech,User financial data collected for underwriting may be shared with third-party marketing networks without separate explicit consent. Applicable across all digital channels.,Scope expansion without consent,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_13,Loan App / Fintech,User financial data collected for underwriting may be shared with third-party marketing networks without separate explicit consent. Pursuant to updated statutory terms.,Scope expansion without consent,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_14,Loan App / Fintech,User financial data collected for underwriting may be shared with third-party marketing networks without separate explicit consent. Subject to regulatory audit.,Scope expansion without consent,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_15,Loan App / Fintech,User financial data collected for underwriting may be shared with third-party marketing networks without separate explicit consent. Enforced in all operating regions.,Scope expansion without consent,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_16,Loan App / Fintech,"User personal and credit data is strictly restricted to credit assessment and loan servicing, and is never shared for marketing.",Compliant purpose limitation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_17,Loan App / Fintech,"User personal and credit data is strictly restricted to credit assessment and loan servicing, and is never shared for marketing. Applicable across all digital channels.",Compliant purpose limitation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_18,Loan App / Fintech,"User personal and credit data is strictly restricted to credit assessment and loan servicing, and is never shared for marketing. Pursuant to updated statutory terms.",Compliant purpose limitation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_19,Loan App / Fintech,"User personal and credit data is strictly restricted to credit assessment and loan servicing, and is never shared for marketing. Subject to regulatory audit.",Compliant purpose limitation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_20,Loan App / Fintech,"User personal and credit data is strictly restricted to credit assessment and loan servicing, and is never shared for marketing. Enforced in all operating regions.",Compliant purpose limitation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Purpose Limitation)
L3_21,Loan App / Fintech,Borrowers cannot request deletion of personal information after full settlement of their loan account.,Denial of data erasure,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_22,Loan App / Fintech,Borrowers cannot request deletion of personal information after full settlement of their loan account. Applicable across all digital channels.,Denial of data erasure,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_23,Loan App / Fintech,Borrowers cannot request deletion of personal information after full settlement of their loan account. Pursuant to updated statutory terms.,Denial of data erasure,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_24,Loan App / Fintech,Borrowers cannot request deletion of personal information after full settlement of their loan account. Subject to regulatory audit.,Denial of data erasure,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_25,Loan App / Fintech,Borrowers cannot request deletion of personal information after full settlement of their loan account. Enforced in all operating regions.,Denial of data erasure,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_26,Loan App / Fintech,Borrowers may submit an in-app request for permanent erasure of personal data once all loan obligations are fully satisfied.,Compliant data erasure,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_27,Loan App / Fintech,Borrowers may submit an in-app request for permanent erasure of personal data once all loan obligations are fully satisfied. Applicable across all digital channels.,Compliant data erasure,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_28,Loan App / Fintech,Borrowers may submit an in-app request for permanent erasure of personal data once all loan obligations are fully satisfied. Pursuant to updated statutory terms.,Compliant data erasure,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_29,Loan App / Fintech,Borrowers may submit an in-app request for permanent erasure of personal data once all loan obligations are fully satisfied. Subject to regulatory audit.,Compliant data erasure,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_30,Loan App / Fintech,Borrowers may submit an in-app request for permanent erasure of personal data once all loan obligations are fully satisfied. Enforced in all operating regions.,Compliant data erasure,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §12 (Right to Erasure)
L3_31,Loan App / Fintech,"App installation mandates unrestricted access to phone gallery, media files, and contact lists as a prerequisite for loan eligibility.",Excessive permission harvesting,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_32,Loan App / Fintech,"App installation mandates unrestricted access to phone gallery, media files, and contact lists as a prerequisite for loan eligibility. Applicable across all digital channels.",Excessive permission harvesting,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_33,Loan App / Fintech,"App installation mandates unrestricted access to phone gallery, media files, and contact lists as a prerequisite for loan eligibility. Pursuant to updated statutory terms.",Excessive permission harvesting,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_34,Loan App / Fintech,"App installation mandates unrestricted access to phone gallery, media files, and contact lists as a prerequisite for loan eligibility. Subject to regulatory audit.",Excessive permission harvesting,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_35,Loan App / Fintech,"App installation mandates unrestricted access to phone gallery, media files, and contact lists as a prerequisite for loan eligibility. Enforced in all operating regions.",Excessive permission harvesting,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_36,Loan App / Fintech,App only requests essential permissions required for one-time KYC verification (camera for document capture and location for geo-tagging).,Compliant data minimisation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_37,Loan App / Fintech,App only requests essential permissions required for one-time KYC verification (camera for document capture and location for geo-tagging). Applicable across all digital channels.,Compliant data minimisation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_38,Loan App / Fintech,App only requests essential permissions required for one-time KYC verification (camera for document capture and location for geo-tagging). Pursuant to updated statutory terms.,Compliant data minimisation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_39,Loan App / Fintech,App only requests essential permissions required for one-time KYC verification (camera for document capture and location for geo-tagging). Subject to regulatory audit.,Compliant data minimisation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_40,Loan App / Fintech,App only requests essential permissions required for one-time KYC verification (camera for document capture and location for geo-tagging). Enforced in all operating regions.,Compliant data minimisation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation)
L3_41,Loan App / Fintech,Platform tracks behavioral analytics and serves targeted financial advertisements to users identified as under 18 years of age.,Unlawful tracking of minors,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_42,Loan App / Fintech,Platform tracks behavioral analytics and serves targeted financial advertisements to users identified as under 18 years of age. Applicable across all digital channels.,Unlawful tracking of minors,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_43,Loan App / Fintech,Platform tracks behavioral analytics and serves targeted financial advertisements to users identified as under 18 years of age. Pursuant to updated statutory terms.,Unlawful tracking of minors,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_44,Loan App / Fintech,Platform tracks behavioral analytics and serves targeted financial advertisements to users identified as under 18 years of age. Subject to regulatory audit.,Unlawful tracking of minors,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_45,Loan App / Fintech,Platform tracks behavioral analytics and serves targeted financial advertisements to users identified as under 18 years of age. Enforced in all operating regions.,Unlawful tracking of minors,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_46,Loan App / Fintech,Platform strictly prohibits registration of individuals under 18 and does not process data of minors.,Compliant protection of minors,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_47,Loan App / Fintech,Platform strictly prohibits registration of individuals under 18 and does not process data of minors. Applicable across all digital channels.,Compliant protection of minors,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_48,Loan App / Fintech,Platform strictly prohibits registration of individuals under 18 and does not process data of minors. Pursuant to updated statutory terms.,Compliant protection of minors,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_49,Loan App / Fintech,Platform strictly prohibits registration of individuals under 18 and does not process data of minors. Subject to regulatory audit.,Compliant protection of minors,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_50,Loan App / Fintech,Platform strictly prohibits registration of individuals under 18 and does not process data of minors. Enforced in all operating regions.,Compliant protection of minors,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data)
L3_51,Loan App / Fintech,Loan disbursal and repayment amounts pass through a third-party payment pool account managed by an unregulated tech vendor.,Improper fund routing via intermediary,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_52,Loan App / Fintech,Loan disbursal and repayment amounts pass through a third-party payment pool account managed by an unregulated tech vendor. Applicable across all digital channels.,Improper fund routing via intermediary,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_53,Loan App / Fintech,Loan disbursal and repayment amounts pass through a third-party payment pool account managed by an unregulated tech vendor. Pursuant to updated statutory terms.,Improper fund routing via intermediary,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_54,Loan App / Fintech,Loan disbursal and repayment amounts pass through a third-party payment pool account managed by an unregulated tech vendor. Subject to regulatory audit.,Improper fund routing via intermediary,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_55,Loan App / Fintech,Loan disbursal and repayment amounts pass through a third-party payment pool account managed by an unregulated tech vendor. Enforced in all operating regions.,Improper fund routing via intermediary,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_56,Loan App / Fintech,All loan disbursements and repayments are executed directly between the borrower's bank account and the regulated lender's bank account.,Compliant direct fund transfer,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_57,Loan App / Fintech,All loan disbursements and repayments are executed directly between the borrower's bank account and the regulated lender's bank account. Applicable across all digital channels.,Compliant direct fund transfer,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_58,Loan App / Fintech,All loan disbursements and repayments are executed directly between the borrower's bank account and the regulated lender's bank account. Pursuant to updated statutory terms.,Compliant direct fund transfer,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_59,Loan App / Fintech,All loan disbursements and repayments are executed directly between the borrower's bank account and the regulated lender's bank account. Subject to regulatory audit.,Compliant direct fund transfer,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_60,Loan App / Fintech,All loan disbursements and repayments are executed directly between the borrower's bank account and the regulated lender's bank account. Enforced in all operating regions.,Compliant direct fund transfer,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_61,Loan App / Fintech,"The app fails to provide a standardized Key Fact Statement (KFS) prior to contract execution, hiding processing fees.",Omission of Key Fact Statement,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_62,Loan App / Fintech,"The app fails to provide a standardized Key Fact Statement (KFS) prior to contract execution, hiding processing fees. Applicable across all digital channels.",Omission of Key Fact Statement,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_63,Loan App / Fintech,"The app fails to provide a standardized Key Fact Statement (KFS) prior to contract execution, hiding processing fees. Pursuant to updated statutory terms.",Omission of Key Fact Statement,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_64,Loan App / Fintech,"The app fails to provide a standardized Key Fact Statement (KFS) prior to contract execution, hiding processing fees. Subject to regulatory audit.",Omission of Key Fact Statement,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_65,Loan App / Fintech,"The app fails to provide a standardized Key Fact Statement (KFS) prior to contract execution, hiding processing fees. Enforced in all operating regions.",Omission of Key Fact Statement,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_66,Loan App / Fintech,"A detailed Key Fact Statement stating the Annual Percentage Rate (APR), total cost of credit, repayment schedule, and fee breakdown is presented before agreement signature.",Compliant Key Fact Statement,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_67,Loan App / Fintech,"A detailed Key Fact Statement stating the Annual Percentage Rate (APR), total cost of credit, repayment schedule, and fee breakdown is presented before agreement signature. Applicable across all digital channels.",Compliant Key Fact Statement,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_68,Loan App / Fintech,"A detailed Key Fact Statement stating the Annual Percentage Rate (APR), total cost of credit, repayment schedule, and fee breakdown is presented before agreement signature. Pursuant to updated statutory terms.",Compliant Key Fact Statement,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_69,Loan App / Fintech,"A detailed Key Fact Statement stating the Annual Percentage Rate (APR), total cost of credit, repayment schedule, and fee breakdown is presented before agreement signature. Subject to regulatory audit.",Compliant Key Fact Statement,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_70,Loan App / Fintech,"A detailed Key Fact Statement stating the Annual Percentage Rate (APR), total cost of credit, repayment schedule, and fee breakdown is presented before agreement signature. Enforced in all operating regions.",Compliant Key Fact Statement,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_71,Loan App / Fintech,App requests continuous background access to contact lists and call logs to monitor borrower behavior.,Prohibited contact and file access,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_72,Loan App / Fintech,App requests continuous background access to contact lists and call logs to monitor borrower behavior. Applicable across all digital channels.,Prohibited contact and file access,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_73,Loan App / Fintech,App requests continuous background access to contact lists and call logs to monitor borrower behavior. Pursuant to updated statutory terms.,Prohibited contact and file access,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_74,Loan App / Fintech,App requests continuous background access to contact lists and call logs to monitor borrower behavior. Subject to regulatory audit.,Prohibited contact and file access,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_75,Loan App / Fintech,App requests continuous background access to contact lists and call logs to monitor borrower behavior. Enforced in all operating regions.,Prohibited contact and file access,RBI Digital Lending Directions,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_76,Loan App / Fintech,"App strictly refrains from accessing borrower contacts, call logs, phonebook, or stored media files.",Compliant media prohibition,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_77,Loan App / Fintech,"App strictly refrains from accessing borrower contacts, call logs, phonebook, or stored media files. Applicable across all digital channels.",Compliant media prohibition,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_78,Loan App / Fintech,"App strictly refrains from accessing borrower contacts, call logs, phonebook, or stored media files. Pursuant to updated statutory terms.",Compliant media prohibition,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_79,Loan App / Fintech,"App strictly refrains from accessing borrower contacts, call logs, phonebook, or stored media files. Subject to regulatory audit.",Compliant media prohibition,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_80,Loan App / Fintech,"App strictly refrains from accessing borrower contacts, call logs, phonebook, or stored media files. Enforced in all operating regions.",Compliant media prohibition,RBI Digital Lending Directions,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_81,Loan App / Fintech,Recovery agents initiate calls and automated collection messages to borrowers between 10:00 PM and 6:00 AM.,Harassment outside permitted hours,RBI Fair Practices Code,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_82,Loan App / Fintech,Recovery agents initiate calls and automated collection messages to borrowers between 10:00 PM and 6:00 AM. Applicable across all digital channels.,Harassment outside permitted hours,RBI Fair Practices Code,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_83,Loan App / Fintech,Recovery agents initiate calls and automated collection messages to borrowers between 10:00 PM and 6:00 AM. Pursuant to updated statutory terms.,Harassment outside permitted hours,RBI Fair Practices Code,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_84,Loan App / Fintech,Recovery agents initiate calls and automated collection messages to borrowers between 10:00 PM and 6:00 AM. Subject to regulatory audit.,Harassment outside permitted hours,RBI Fair Practices Code,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_85,Loan App / Fintech,Recovery agents initiate calls and automated collection messages to borrowers between 10:00 PM and 6:00 AM. Enforced in all operating regions.,Harassment outside permitted hours,RBI Fair Practices Code,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_86,Loan App / Fintech,Collection efforts and communications are strictly restricted to permitted hours (7:00 AM to 7:00 PM) and adhere to professional conduct.,Compliant recovery practices,RBI Fair Practices Code,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_87,Loan App / Fintech,Collection efforts and communications are strictly restricted to permitted hours (7:00 AM to 7:00 PM) and adhere to professional conduct. Applicable across all digital channels.,Compliant recovery practices,RBI Fair Practices Code,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_88,Loan App / Fintech,Collection efforts and communications are strictly restricted to permitted hours (7:00 AM to 7:00 PM) and adhere to professional conduct. Pursuant to updated statutory terms.,Compliant recovery practices,RBI Fair Practices Code,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_89,Loan App / Fintech,Collection efforts and communications are strictly restricted to permitted hours (7:00 AM to 7:00 PM) and adhere to professional conduct. Subject to regulatory audit.,Compliant recovery practices,RBI Fair Practices Code,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
L3_90,Loan App / Fintech,Collection efforts and communications are strictly restricted to permitted hours (7:00 AM to 7:00 PM) and adhere to professional conduct. Enforced in all operating regions.,Compliant recovery practices,RBI Fair Practices Code,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022
