id,layer,category,text,violation_type,law_statute,label,source_name,source_url,notes,needs_human_review
L1_315,1,General Terms of Service,"and while we 'll try to give you advance notice , we ca n't guarantee it . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1331,1,General Terms of Service,"no advice or information , whether oral or written , obtained by you from evernote or through or from the service shall create any warranty not expressly stated in these terms of service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_415,1,General Terms of Service,"imply or state that you are affiliated with or endorsed by linkedin without our express consent ( e.g. , representing yourself as an accredited linkedin trainer ) ; ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_141,1,General Terms of Service,"subject to the aaa rules , the arbitrator will have the discretion to direct a reasonable exchange of information by the parties , consistent with the expedited nature of the arbitration . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1590,1,General Terms of Service,"we do not own , manage , or contract for any vacation rental property listed on this website or our affiliate sites . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1669,1,General Terms of Service,this is an aggregate limit . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1144,1,General Terms of Service,"if we make changes to these terms , we will post the revised terms on the airbnb platform and update the `` last updated '' date at the top of these terms . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_140,1,General Terms of Service,any rights not expressly granted herein are reserved by uber and uber 's licensors . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_120,1,General Terms of Service,you may not assign or transfer these terms in whole or in part without uber 's prior written approval . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_850,1,General Terms of Service,a printed version of these terms of service and of any notice given in electronic form shall be admissible in judicial or administrative proceedings based upon or relating to these terms of service to the same extent and subject to the same conditions as other business documents and records originally generated and maintained in printed form . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_336,1,General Terms of Service,you represent and warrant that such content is accurate . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1192,1,General Terms of Service,this agreement was originally written in english ( us ) . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1094,1,General Terms of Service,"noe may offer various payment methods , subject to availability in your country . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1356,1,General Terms of Service,"except for such updated terms , this agreement may not be modified except by mutual written agreement between you and linden lab that is signed by hand ( not electronically ) by duly authorized representatives of both parties and expressly references amendment of this agreement . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L2_34,2,Loan App / Fintech,"National Commission held that credit/lending interest rates ranging from 36% to 49% per annum were exorbitant, usurious, and amounted to exploitation of borrowers.",Usurious / exploitative interest rate,Consumer Protection Act (unfair trade practice); RBI fair-pricing expectations,High-risk,NCDRC Complaint Case No. 51/2007 / Revision Petition No. 1913/2004,https://www.taxtmi.com/tmi_blog_details?id=785484,"Real, specific NCDRC case citation — verify current status/appeal history before citing as final.",False
L1_83,1,General Terms of Service,"uber may , in uber 's sole discretion , permit you from time to time to submit , upload , publish or otherwise make available to uber through the services textual , audio , and/or visual content and information , including commentary and feedback related to the services , initiation of support requests , and submission of entries for competitions and promotions ( `` user content '' ) . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1139,1,General Terms of Service,"( iv ) use any cheats , mods , hacks , or any other unauthorized techniques or unauthorized third-party software to cheat in any competition or game that may be offered on the service , or to otherwise disrupt or modify the service or the experience of any users on the service ; or ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1583,1,General Terms of Service,"if you reside outside the united states , you are entering into this contract with linkedin ireland u.c. and your personal data provided to , or collected by or for , our services is controlled by linkedin ireland u.c. ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1660,1,General Terms of Service,"as a parent or guardian of a child under the age of thirteen ( 13 ) from whom we have collected personal data , you have the right to review and request deletion of such personal data , and to refuse to permit further collection or use of such personal data . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1482,1,General Terms of Service,"if you do not agree to the revised terms , you must stop using the services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1975,1,General Terms of Service,"( i ) post , display , or transmit content that violates any law or the rights of any third party , including without limitation intellectual property rights . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1553,1,General Terms of Service,"a party who intends to seek arbitration must first send to the other , by certified mail , a completed form notice of dispute ( `` notice '' ) . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1434,1,General Terms of Service,"( i ) except as necessary to maintain your own computer security by use of commercial-off-the-shelf anti-virus or anti-malware products , you will not attempt to probe , scan , or test the vulnerability of the products or any other headspace system or network or breach any security or authentication measures . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_2042,1,General Terms of Service,"14.3 if you feel that any member you interact with , whether online or in person , is acting or has acted inappropriately , including but not limited to anyone who ( i ) engages in offensive , violent or sexually inappropriate behavior , ( ii ) you suspect of stealing from you , or ( iii ) engages in any other disturbing conduct , you should immediately report such person to the appropriate authorities and then to airbnb by contacting us with your police station and report number ( if available ) ; provided that your report will not obligate us to take any action beyond that required by law ( if any ) or cause us to incur any liability to you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1441,1,General Terms of Service,your credit card issuer may give you the right to opt-out of the update service . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_2044,1,General Terms of Service,"to the extent not waivable , you irrevocably agree not to exercise such rights ( if any ) in a manner that interferes with any exercise of the granted rights . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1693,1,General Terms of Service,we shall confirm your order and send you an email to confirm your access to the subscription purchased . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1839,1,General Terms of Service,please review the privacy policy to learn about : ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_2040,1,General Terms of Service,"fitbit content , the fitbit service , and its underlying technology are protected by copyright , trademark , patent , intellectual property , and other laws of the united states and foreign countries . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1157,1,General Terms of Service,use of the amazon software . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L4_16,4,Loan App / Fintech,"In instances of overdue balances, resolution counselors may initiate contact at convenient times throughout the day and evening hours.",Off-hours recovery contact,RBI Fair Practices Code,High-risk,RakshakAI Adversarial Rewriter (Layer 4),internal://adversarial_layer4,Disguised phrasing rewrite requiring human review,True
L1_116,1,General Terms of Service,your use of our services is also subject to our privacy policy and cookie policy . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L3_89,3,Loan App / Fintech,Collection efforts and communications are strictly restricted to permitted hours (7:00 AM to 7:00 PM) and adhere to professional conduct. Subject to regulatory audit.,Compliant recovery practices,RBI Fair Practices Code,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022,False
L3_3,3,Loan App / Fintech,The app processes applicant personal data without providing itemised prior notice of data categories collected. Pursuant to updated statutory terms.,Unconsented data processing,DPDP Act 2023,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §5 (Notice),False
L1_1805,1,General Terms of Service,"in consideration for snap group limited letting you access and use the services , you agree that we , snap inc. , our affiliates , and our third-party partners may place advertising on the services , including personalized advertising based upon the information you provide us or we collect or obtain about you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L2_71,2,Gig Contract,"Porter's vendor agreement lets the company suspend or terminate a driver-partner at any time, without giving any reason or notice whatsoever.",Unilateral termination without cause,Unfair contract terms doctrine,High-risk,Porter (SmartShift Logistics) Services Agreement,https://dom-website-prod-cdn-web.porter.in/partner_tnc_content.pdf,"Clause 3.3 of the agreement (2W/3W/4W vendor T&C, downloaded PDF); verify it's still the current live version",False
L1_561,1,General Terms of Service,"the tripadvisor media group companies disclaim all warranties , conditions , or other terms of any kind that this website , its servers or any email sent from the tripadvisor media group companies , are free of viruses or other harmful components . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_434,1,General Terms of Service,third-party services are offered and distributed by third parties at the sole responsibility of third parties . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_235,1,General Terms of Service,any references to a member being `` verified '' ( or similar language ) only indicate that the member has completed a relevant verification or identification process and nothing else . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1585,1,General Terms of Service,"in this case , the member in question is not eligible for any refunds on any portion of their subscription payment . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1631,1,General Terms of Service,"for example , some host services may carry risk of illness , bodily injury , disability , or death , and you freely and willfully assume those risks by choosing to participate in those host services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_668,1,General Terms of Service,in such event you will not be entitled to a pro-rata refund or credit . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1024,1,General Terms of Service,"nintendo may from time to time change the nintendo account service , in part or in whole , for the benefit of the nintendo account service users . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1897,1,General Terms of Service,"when you use an amazon service ( for example , your profile , gift cards , amazon video , your media library , amazon devices , or amazon applications ) you also will be subject to the guidelines , terms and agreements applicable to that amazon service ( `` service terms '' ) . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_480,1,General Terms of Service,"all issues are for the arbitrator to decide , except that issues relating to arbitrability , the scope or enforceability of this agreement to arbitrate , or the interpretation of section 1 of this agreement to arbitrate ( `` prohibition of class and representative actions and non-individualized relief '' ) , shall be for a court of competent jurisdiction to decide . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_477,1,General Terms of Service,"if you signed up for an account on or after june 19 , 2017 , the updated terms apply to you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_755,1,General Terms of Service,"when you provide your payment information , you authorise us ( or a third-party payment processor ) to process and store your payment and related information . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_304,1,General Terms of Service,you may not assign or otherwise transfer your account to any other person or entity . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L2_85,2,Loan App / Fintech,"All ten BNPL providers Dvara studied reserved the right to reject a credit application without disclosing any reason, which the report says breaches RBI's Fair Practices Code requirement to give reasons for rejecting small loans (up to INR 2 lakh).",Credit rejection without stated reason,"RBI Guidelines on Fair Practices Code for Lenders, cl. 2(1)(d)",Medium-risk,"Dvara Research, 'The Costs of Using BNPL Products'",https://dvararesearch.com/wp-content/uploads/2023/12/The-Costs-of-using-Buy-Now-Pay-Later-BNPL-products.pdf,,False
L1_446,1,General Terms of Service,"linden lab may modify , revalue , or make the virtual goods and services more or less common , valuable , effective , or functional . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1899,1,General Terms of Service,"you may not transfer , assign , sublicense or otherwise dispose of this licence to another person or entity and may not use the nintendo intellectual property for any commercial purpose . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_826,1,General Terms of Service,you should carefully review their privacy statements and other conditions of use . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_151,1,General Terms of Service,"the tripadvisor media group companies are not liable for the acts , errors , omissions , representations , warranties , breaches or negligence of any such suppliers or for any personal injuries , death , property damage , or other damages or expenses resulting therefrom . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_672,1,General Terms of Service,in no event shall the aggregate liability of the oculus parties arising out of or relating to the use of or inability to use the services exceed the greater of one hundred us dollars ( $ 100 ) or the amount that you paid us to use our services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1079,1,General Terms of Service,"you are responsible for activities related to your account name , and for keeping your password for your account ( s ) secure . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1815,1,General Terms of Service,nintendo neither becomes a party nor participates in any other way in any contract you may conclude with a third party through such third-party shopping services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1677,1,General Terms of Service,"we each acknowledge that neither of us relies on , or will have any remedies in respect of , any representation or warranty ( whether made innocently or negligently ) that is not set out in these terms or the documents referred to in them . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1336,1,General Terms of Service,"make available through the service any material or information that infringes any copyright , trademark , patent , trade secret , right of privacy , right of publicity , or other right of any person or entity or impersonates any other person , including without limitation a supercell employee . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1586,1,General Terms of Service,"without limiting the preceding sentence , you will also have the right to litigate any dispute other than a litigable action , if you provide academia.edu with written notice of your desire to do so by email or regular mail at 251 kearny st , 5th floor , san francisco ca 94108 within thirty ( 30 ) days following the date you first agree to these terms ( such notice , an `` arbitration opt-out notice '' ) . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_892,1,General Terms of Service,the exclusions and limitations of damages set forth above are fundamental elements of the basis of the bargain between fitbit and you . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_474,1,General Terms of Service,"you are solely responsible for your interaction with other users of the service , whether online or offline . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1345,1,General Terms of Service,"linden lab and other content providers may use the normal functionality of the service , including an applicable permissions system and the copy , modify , and transfer settings , to indicate how you may use , reproduce , distribute , prepare derivative works of , display , or perform their respective content solely through the service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1928,1,General Terms of Service,digital millenium copyright act ( `` dmca '' ) notice ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_441,1,General Terms of Service,"the user agreement , the user privacy notice , and all polices posted through our services set forth the entire understanding and agreement between you and ebay , and supersede all prior understandings and agreements of the parties . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L3_83,3,Loan App / Fintech,Recovery agents initiate calls and automated collection messages to borrowers between 10:00 PM and 6:00 AM. Pursuant to updated statutory terms.,Harassment outside permitted hours,RBI Fair Practices Code,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for RBI Digital Lending Guidelines 2022,False
L1_33,1,General Terms of Service,portions of the amazon services operate under license of one or more patents . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_583,1,General Terms of Service,"you are responsible for maintaining the accuracy , completeness and confidentiality of your basic subscriber information , and you will be responsible for all activities that occur under your account , including activities of others to whom you have provided your basic subscriber information . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1000,1,General Terms of Service,"subject to the foregoing , you use this website at your own risk and in no event shall the tripadvisor media group companies ( or their officers , directors and affiliates ) be liable for any direct , indirect , punitive , incidental , special , or consequential lossses or damages or any loss of income , profits , goodwill , data , contracts , use of money , or loss or damages arising from or conntected in any way to business interruption of any type arising out of , or in any way connected with , your access to , display of or use of this website or with the delay or inability to access , display or use this website ( including , but not limited to , your reliance upon reviews and opinions appearing on this website ; any computer viruses , information , software , linked sites , products , and services obtained through this website ; or otherwise arising out of the access to , display of or use of this website ) whether based on a theory of negligence , contract , tort , strict liability , or otherwise , and even if tripadvisor has been advised of the possibility of such damages . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
